blueTeamTotalGold,redTeamTotalGold,blueWin
28546,29797,0
28147,28260,0
24884,28838,0
28817,29186,0
24377,30661,0
23032,30978,0
27773,32799,1
25682,31228,0
31164,28150,1
28475,25159,1
29518,28455,1
26175,28521,0
24151,26915,1
31172,22743,1
29335,29428,1
26092,26199,1
29052,29424,0
32529,31899,0
35388,27696,1
29326,28014,1
31031,22946,1
28337,29933,1
30511,28213,0
22606,31661,0
27702,26346,1
31644,26655,0
29031,30288,1
30791,25558,1
26619,27563,0
27832,26260,1
28201,26219,1
26602,25329,1
22956,26463,0
27128,30099,0
27631,26717,0
29427,25308,1
26874,29232,0
32363,23950,1
27065,27005,0
23942,26957,0
32814,25868,1
27216,23859,1
23598,29529,0
28034,28330,1
25410,26445,0
27226,24439,1
29525,27051,0
23821,25477,0
26434,25034,1
29576,30970,0
23641,33434,0
27249,26547,0
35085,25449,1
32941,25140,1
30230,30956,1
30340,26606,1
28750,24346,1
28062,34274,0
26220,25486,0
29998,24969,1
29425,27851,1
24885,33003,0
26960,26684,0
26842,26836,1
30661,26013,1
29389,30809,0
33187,28298,1
24197,29426,0
32721,26270,1
25580,24665,1
30739,26182,0
26928,25630,1
26258,25948,0
24846,29119,0
26353,27473,1
25827,29328,0
28410,26466,1
27521,30482,1
25997,27253,0
32308,27205,1
22116,31638,0
30005,27391,1
25890,28456,0
30538,25073,1
26754,26974,0
31144,28782,1
31557,25662,1
24735,32188,0
29230,24976,0
25842,28651,0
26752,26478,1
24596,29509,0
21972,29873,0
23795,28261,0
27763,36341,0
23852,32488,0
28933,25294,0
26541,29520,0
24397,27700,0
31660,27996,1
31870,23739,1
23370,29451,0
28992,25546,1
28379,26418,1
25253,27899,0
29078,25908,1
25178,24554,1
28972,29209,0
29385,31065,0
26805,27213,0
24208,32802,0
30779,24122,1
24288,38998,0
24646,28325,0
32194,27802,1
31065,30588,1
29658,26864,1
26462,30419,0
23562,26634,1
27126,29663,0
23876,29907,0
27169,26258,0
27132,30752,0
25885,30446,0
23153,34970,0
20236,31709,0
29245,26941,1
32662,23645,1
28225,29150,0
32150,25622,1
27663,24374,1
30874,24397,1
25348,26093,0
27702,35330,0
30038,30721,0
27892,28388,0
28713,29706,1
27831,28146,1
24943,33978,0
26188,29623,0
25667,24889,0
28724,27144,1
26190,27898,0
26090,27457,0
25257,25559,0
26670,29987,0
31770,23073,1
24503,24674,1
34057,23284,1
29105,26207,1
29001,25127,1
27798,24615,0
24287,26329,0
30762,24250,1
28465,28430,0
28910,24050,1
25974,30525,1
24248,29630,0
25979,24962,0
24600,29058,0
27202,25485,1
22971,34530,0
27274,25826,0
25069,34868,0
35206,28350,0
29236,32020,0
24499,32782,0
33690,25800,1
31210,33804,0
23115,32950,0
27477,32967,0
32350,24682,1
27074,29471,0
22643,30015,0
23047,32244,0
25377,25881,0
24188,29058,0
30575,27009,0
23814,35043,0
25721,30815,0
27136,25874,1
29644,28316,0
26171,26184,0
26688,26459,0
27969,31826,0
24397,28271,0
29991,27357,1
27756,31989,0
25414,32547,0
29604,30631,1
26491,31217,0
33676,28501,1
28446,27877,0
27488,25962,1
27379,29288,0
27219,26274,1
26472,32506,0
28201,24612,1
25937,23447,1
30429,24994,1
31033,27133,1
